Name,Date of Birth,Nationality,Role,Sex,Discipline 1,Discipline 2,Date of Infraction,Sanction,Ineligibility until,Period of Disqualification of results,Lifetime Ban?,Infraction Type,ADRV Rules,ADRV Notes,Description
 Vladimir KANAYKIN,21/03/1985,RUS,athlete,M,20km Walk,Long Distance (3000m+),25/02/2011,8 years ineligibility (2nd ADRV),16/12/2020,"From 25.02.11 to
17.12.12",No,Doping,Use,Athlete Biological Passport,Athlete Biological Passport Case
 Luka Lokobe KANDA,01/01/1983,KEN,athlete,M,,Long Distance (3000m+),29/10/2017,4 years ineligibility,04/02/2022,Since 29.10.17,No,Doping,"Presence,Use",Clenbuterol,"In competition test,  Chosunilbo International Marathon , in Chuncheon, KOR"
 Anastasiya KAPACHINSKAYA,21/11/1979,RUS,athlete,F,,Sprints (400m or less),29/08/2011,5 years ineligibility,30/06/2020,Since 17.08.08,No,Doping,"Presence,Use",Dehydrochlormethyltestost erone,"In competition test, In competition test,   13th IAAF World Championships , Daegu, KOR"
 Muratcan KARAPINAR,08/08/1996,TUR,athlete,M,Race Walk,Long Distance (3000m+),21/07/2014,4 years ineligibility,23/03/2021,Since 21.07.14,No,Doping,Use,Athlete Biological Passport,Athlete Biological Passport Case
 Emma Muthoni KARIUKI,04/01/1981,KEN,athlete,F,,Long Distance (3000m+),29/07/2018,4 years ineligibility,28/07/2022,Since 29.07.18,No,Doping,"Presence,Use",Prednisone & prednisolone,"In competition test, Cool City Liupanshui Summer International Marathon, Liupanshui, CHN"
 Jedida KARUNGU,09/01/1987,KEN,athlete,F,,Long Distance (3000m+),27/10/2018,4 years ineligibility,19/12/2022,Since 27.10.18,No,Doping,"Presence,Use",Norandrosterone,"In competition test, 2018 Dongfeng Nissan Chengdu International Marathon, Chengdu, CHN"
 Stephen KATAM,20/10/1994,KEN,athlete,M,,Long Distance (3000m+),22/04/2017,2 years ineligibility,18/10/2019,Since 22.04.17,No,Doping,"Presence,Use","Prednisone, Methylprednisolone","In competition test, Belgrade Marathon 2017, Belgrade, SRB"
 Rosemary Mumo KATUA,10/08/1996,BRN,athlete,F,,Long Distance (3000m+),14/10/2017,3 years ineligibility,02/12/2020,Since 14.10.17,No,Doping,"Presence,Use",Norandrosterone,"In competition test,  Hari Sukan Negara 21 km , Kuala Lumpur, MAS"
 Baljit KAUR,01/05/1983,IND,athlete,F,,Throws,28/12/2017,4 years ineligibility,30/01/2022,Since 28.12.17,No,Doping,"Presence,Use",Mephentermine,"In competition test,  66th All India Police Athletics Championships in Dehradun, IND"
 Harkirat KAUR,08/10/1992,IND,athlete,F,,Throws,30/04/2016,4 years ineligibility,25/05/2020,Since 30.4.16,No,Doping,"Presence,Use",Metenolone,"In competition test,  20th Federation Cup, Senior National Athletics Championships, New Delhi IND"
 Manpreet KAUR,06/07/1990,IND,athlete,F,Shot Put,Throws,24/04/2017,4 years ineligibility,19/07/2021,Since 24.04.17,No,Doping,"Presence,Use",Metenolone and Dimethylbutylamine,"In competition test,  Asian Grand Prix , Jinhua, CHN,   21st Federation Cup , Patiala, IND,  2017 Asian Athletics Championships ,
Bhubaneswar, IND and 57th National Inter State Sr Athletics Championships , Guntur, IND"
 Manpreet KAUR,05/03/1996,IND,athlete,F,Shot Put,Throws,28/06/2016,4 years ineligibility,01/08/2020,Since 28.06.16,No,Doping,"Presence,Use","Trenbolone, Metenolone","In competition test, India Grand Prix', Bangalore, IND"
 Ramanpreet KAUR,18/01/1995,IND,athlete,F,Shot Put,Throws,26/06/2017,4 years ineligibility,08/08/2021,Since 26.06.17,No,Doping,"Presence,Use",Drostanolone,"In competition test, 'Selection Trials for 22nd Asian Athletics Championship', Patiala, IND"
 Simarjit KAUR,12/07/1990,IND,athlete,F,,Sprints (400m or less),05/11/2017,2 years ineligibility,09/06/2020,Since 30.12.17,No,Doping,"Presence,Use",Higenamine,"In competition test,  66th All India Police Athletics Championships in Dehradun, IND"
 Deyra KAYA,10/02/1994,TUR,athlete,F,,Long Distance (3000m+),14/08/2016,5 years ineligibility,18/09/2020,Since 14.08.16,No,Doping,Use,Mesterolone,"In competition test, Spor Toto 1- LIG Yarismalari Atletizm , Istanbul, TUR"
 Lutfiye KAYA,11/04/1971,TUR,athlete,F,,Long Distance (3000m+),07/09/2013,4 years ineligibility,04/09/2021,Since 07.09.13,No,Doping,Use,Athlete Biological Passport,Athlete Biological Passport Case
 Anastasiya KAYGORODOVA,,RUS,athlete,F,,Middle Distance (800m-1500m),,4 years ineligibility,11/02/2023,Since 19.0.19,No,Non-Doping,"Presence,Use",Meldonium,"In competition test, 'Russian Championships of the Ural Federal DistrIn competition test', Chelyabinsk,RUS"
 Vladimir KAZARIN,,RUS,athlete support personn el,M,,Athlete Support Personnel,07/04/2017,Lifeban as from 07/04/2017,,NA,Yes,Doping,Possession,"Possession of a Prohibited Substance or a Prohibited Method, Trafficking or Attempted Trafficking in any Prohibted Substance or Prohibited Method, Administration or Attempted Administration to any Athlete of a Prohibited Substance/ or Method",IAAF Rule 32.2( f )   - Possession IAAF Rule 32.2( g )  - Trafficking IAAF Rule 32.2( h )   - Administration
 Brendon KEENAN,01/06/1974,NZL,athlete,M,,Long Distance (3000m+),05/01/2018,4 years ineligibility,06/09/2022,Since 07.09.17,No,Doping,Use,Use or Attempted Use by an Athlete of a Prohibited Substance or a Prohibited Method,IAAAF Rule 32.2.(b) Use or Attempted Use by an Athlete of a Prohibited Substance or a Prohibited Method
 Julian KELLERER,22/08/1989,AUT,athlete,M,,Jumps,17/02/2019,2 years ineligibility,14/07/2021,Since 17.02.19,No,Doping,"Presence,Use",Exogenous Steroids after IRMS (Androsterone),"In competition test, Austrain Indoor Championships, Vienna, AUT"
 Hosein KEYHANI,26/04/1990,IRI,athlete,M,3000m SC,Long Distance (3000m+),21/04/2019,4 years ineligibility,20/05/2023,Since 21.04.19,No,Doping,"Presence,Use",EPO,"In competition test,  Asian Athletics Championships , Doha, QAT"
 KHAKHUTSKIY Viktor,25/10/1984,RUS,athlete,M,,Long Distance (3000m+),21/10/2018,4 years ineligibility,20/11/2022,Since 21-10-18,No,Non-Doping,"Presence,Use",Meldonium,"In competition test, Yerevan Marathon 2018', Yerevan, ARM"
 Narges KHANI,27/03/1993,IRI,athlete,F,,Middle Distance (800m-1500m),05/01/2018,4 years ineligibility,02/02/2022,Since 05.01.18,No,Doping,"Presence,Use",Norandrosterone,"In competition test, Iranian Athletics Team , Tehran, IRN"
  Yevgeniy KHOKHLOV,05/03/1991,RUS,athlete,M,,Middle Distance (800m-1500m),11/06/2015,4 years ineligibility with 4 years ineligibility added to the original period,21/06/2023,Since 11.06.15,No,Doping,"Presence,Use, Violation of the Prohibition of Participation During Ineligibility",EPO and Participation during ineligibility,"In competition test,  Moskva Regional Championship, Moscow, RUS"
 Natalya KHOKHLOVA,06/10/1992,RUS,athlete,F,,Long Distance (3000m+),20/10/2018,2 years ineligibility,11/12/2020,Since 20-10-18,No,Doping,"Presence,Use",Methylhexaneamine,"In competition test, Russian Championships in Cross-Country, Orenburg, RUS"
 Irina KHORZANENKO,16/05/1974,RUS,athlete,F,Shot Put,Throws,18/08/2004,Lifetime ban (2nd ADRV),,-,Yes,Doping,"Presence,Use",Stanozolol,"In competition test, '7th IAAF World Indoor Championships', Maebashi, JPN"
 Ivan KHUDYAKOV,10/02/1999,RUS,athlete,M,,Sprints (400m or less),24/03/2017,4 years ineligibility,18/04/2021,24.03.17,No,Doping,"Presence,Use",Meldonium,"Out competition, in Kislovodsk, RUS"
 Edwin Kiprop KIBET,09/08/1992,KEN,athlete,M,,Long Distance (3000m+),04/12/2016,4 years ineligibility,06/07/2021,Since 04.12.16,No,Doping,"Presence,Use",Norandrosterone,"In competition test, Chongqing International Half Marathon on 04.12.16, Chongqing, CHN and Shantou Marathon on 25.12.16, Shantou, CHN"
 Philip Sanga KIMUTAI,10/09/1983,KEN,athlete,M,,Long Distance (3000m+),28/07/2019,4 years ineligibility,08/10/2023,Since 28.07.19,No,Doping,"Presence,Use",Exogenous Steroids after IRMS (5aAdiol & 5bAdiol),"In competition test, Liupanshui Summer International Marathon, Liupanshui, CHN"
 Vincent KIPCHIRCHIR,07/11/1984,KEN,athlete,M,,Long Distance (3000m+),30/04/2016,4 years ineligibility,11/11/2020,Since 30.04.16,No,Doping,"Presence,Use",Norandrosterone,"In competition test,  Polokwane Mayors Marathon Polokwane, RSA"
 Bisluke Kipkorir KIPLAGAT,,CHN,athlete,M,,Long Distance (3000m+),,4 years ineligibility,22/10/2020,Since 23.10.16,No,Non-Doping,"Presence,Use",Norandrosterone,"In competition test, 1/4 de Maraton Ciudad de Bucaramanga, COL"
 Peter Kiptoo KIPLAGAT,10/10/1984,KEN,athlete,M,,Long Distance (3000m+),29/10/2017,4 years ineligibility,08/03/2022,Since 29.10.17,No,Doping,"Presence,Use",Clenbuterol,"In competition test,   Casablanca Marathon , Casablanca, MAR"
 Abraham KIPTUM,15/09/1989,KEN,athlete,M,,Long Distance (3000m+),13/10/2018,4 years ineligibility,25/04/2023,Since 13.10.18,No,Doping,Use,Athlete Biological Passport,Athlete Biological Passport Case
 Edwin KIPYEGO,16/11/1990,KEN,athlete,M,,Long Distance (3000m+),18/05/2017,4 years ineligibility,06/07/2021,Since 18.05.17,No,Doping,"Presence,Use",EPO,"In competition test,  5th National police service track & field athletics championships , Nairobi, KEN"
 Sally Chelagat KIPYEGO,06/07/1990,KEN,athlete,F,Marathon,Long Distance (3000m+),27/12/2015,4 years ineligibility,28/03/2021,Since 27.12.15,No,Doping,"Presence,Use",Norandrosterone,"In competition test, Taihu International Marathon , Suzhou, CHN"
 Anisya KIRDYAPKINA (KORNIKOVA),23/10/1989,RUS,athlete,F,Race Walk,Long Distance (3000m+),25/02/2011,3 years ineligibility,26/07/2020,"From 25.02.11 to
11.10.13",No,Non-Doping,Use,Athlete Biological Passport,-
 David Kiptoo KIRUI,29/12/1977,KEN,athlete,M,Marathon,Long Distance (3000m+),05/11/2017,4 years ineligibility,27/02/2022,Since 05.11.17,No,Doping,"Presence,Use",Nandrolone,"In competition test,  Marathon Guadalajara Megacable in Guadalajara, MEX"
 Eunice Jepkirui KIRWA,20/05/1984,BRN,athlete,F,,Long Distance (3000m+),01/04/2019,4 years ineligibility,06/05/2023,Since 01-04-19,No,Doping,"Presence,Use",EPO,"Out-of-competition test, Kapsabet, KEN"
 KISELEV Aleksey,12/07/2000,RUS,athlete,M,,Middle Distance (800m-1500m),19/05/2018,4 years ineligibility,26/08/2022,Since 19-05-18,No,Doping,"Presence,Use",Meldonium,"In competition test, 'Far East Regional Junior Championships', Khabarovsk, RUS"
 Sammy (Kirop) KITWARA,26/11/1986,KEN,athlete,M,,Long Distance (3000m+),17/03/2019,16 months ineligibility,16/07/2020,Since 17.03.19,No,Doping,"Presence,Use",Terbutaline,"In competition test, Seoul Marathon 2019, Seoul, KOR"
 Larisa KLEYMENOVA,06/08/1981,RUS,athlete,F,,Middle Distance (800m-1500m),09/09/2015,4 years ineligibility with 4 years ineligibility added of the original period,16/09/2023,From 09.09.15,No,Doping,"Presence,Use, Violation of the Prohibition of Participation During Ineligibility",Trimetazidine and Participation during ineligibility,"In competition test, Russian Relays Championships , Adler, RUS"
 Nina KLYUZHEVA,23/11/1997,RUS,athlete,F,Pole Vault,Jumps,10/08/2019,2 years ineligibility,26/08/2021,Since 10.08.20,No,Doping,"Presence,Use",Furosemide,"In competition test, All-Russian competition Memorial of the Irkutsk athletes, Irkutsk, RUS"
 YounâˆšÂ©s KNIYA,15/08/1995,MAR,athlete,M,,Long Distance (3000m+),09/07/2017,4 years ineligibility,17/09/2021,Since 09.07.17,No,Doping,"Presence,Use",GW1516,"In competition test, 6√®me Meeting F√©d√©ral , Ben Slimane, MAR"
 Andre KOEKEMOER,31/12/1993,RUS,athlete,M,,Long Distance (3000m+),23/07/2013,8 years ineligibility,22/07/2021,Since 23.07.13,No,Doping,"Presence,Use",Testosterone,"Out-of-competition test, RSA"
 Rahime KOLAY,06/05/1978,TUR,athlete,M,,Middle Distance (800m-1500m),22/05/2016,4 years ineligibility,28/06/2020,Since 22.05.16,No,Doping,"Presence,Use","Ephedrine, Metenolone","In competition test, Erzurum Half Marrathon , Erzurum, TUR"
 German KOMAROV,,RUS,athlete,M,,,,8 years ineligibility,24/06/2027,Since 09.11.17,No,Doping,Evasion,-,"OOC, Sochi RUS"
 SongâˆšÂ l KONAK,26/08/1997,TUR,athlete,F,,Middle Distance (800m-1500m),17/05/2015,4 years ineligibility,18/04/2020,Since 17.5.15,No,Doping,Use,Athlete Biological Passport,Athlete Biological Passport Case
 Igor KONDRATYEV,23/01/1991,KAZ,athlete,M,,Sprints (400m or less),29/06/2018,2 years ineligibility,30/07/2020,Since 29.06.18,No,Doping,"Presence,Use",Methylhexaneamine,"In competition test,  XXVIII G.Kosanov Memorial , Almaty, KAZ"
 Mikulas KONOPKA,23/01/1979,SVK,athlete,M,Shot Put,Throws,13/05/2008,Lifetime ban (2nd ADRV),,Since 13-05-08,Yes,Doping,"Presence,Use",Methandienone,"Out-of-competition test, Zeliezovce, Slovakia"
 Vasiliy KOPEYKIN,09/03/1988,RUS,athlete,M,Long Jump,Jumps,06/12/2016,4 years ineligibility,03/05/2021,Since 06.12.16,No,Doping,"Presence,Use",Trimetazidine,"Out-of-competition test, Novogorsk, RUS"
 Robert Kimutai KORIR,15/03/1993,KEN,athlete,M,800m,Middle Distance (800m-1500m),23/04/2018,2 years ineligibility,02/08/2020,Since 23.04.18,No,Doping,"Presence,Use",Norandrosterone,"Out-of-competition test, Kajiado, KEN"
 Sally Jepkemoi KORIR,11/04/1981,KEN,athlete,F,,Long Distance (3000m+),21/05/2017,2 years ineligibility,14/09/2020,Since 21.05.17,No,Doping,"Presence,Use",Oxycodone,"In competition test, Jintan International Half Marathon, Jintan, CHN"
 Olha KORSUN,11/11/1996,UKR,athlete,F,Triple Jump,Jumps,12/07/2019,2 years ineligibility,11/07/2021,Since 12.07.19,No,Doping,"Presence,Use",Furosemide,"In competition test, XXX Summer Universidade, Napoli, ITA"
 Philemon Kipruto KOSKEI,07/01/1978,KEN,athlete,M,,Long Distance (3000m+),30/12/2016,2 years ineligibility,28/10/2020,Since 30.12.16,No,Doping,Use,Use of EPO,
 Sergey KOTOV,28/08/1985,RUS,athlete,M,,Long Distance (3000m+),12/07/2018,4 years ineligibility,19/07/2022,Since 12.07.18,No,Doping,"Evasion,Refusa l and or Failure to Submit",Refusal to submit to doping control,"In competition test, Russian Athletics cup in Zhukovskiy, RUS"
 Leila KOUHKAN,21/12/1990,IRI,athlete,F,,Throws,25/09/2017,4 years ineligibility,28/10/2021,Since 25.09.17,No,Doping,"Presence,Use","Stanozolol, Higenamine","In competition test, Women s Golden League , Teheran, IRI"
 Oleg KRAMAR,23/12/1964,UKR,athlete,M,,Jumps,02/04/2016,4 years ineligibility,01/04/2020,From 02.04.16,No,Doping,"Presence,Use",Stanozolol,"In competition, in     Indoor Championships 2016 Ancona, ITA"
 Wioletta KRYZA,10/08/1968,POL,athlete,F,Marathon,Long Distance (3000m+),22/07/2012,8 years ineligibility (2nd ADRV),21/07/2020,Since 22-07-12,No,Doping,"Presence,Use",Testosterone,"Half marathon, Semi Marathon de Marvejols-Mende , FRA"
 Anastassya KUDINOVA,27/02/1988,KAZ,athlete,F,,Sprints (400m or less),13/07/2016,4 years ineligibility,16/08/2020,Since 13.07.16,No,Doping,"Presence,Use",Drostanolone,"Out-of competition test, Almaty, KAZ"
 Arjun KUMAR,01/07/1993,IND,athlete,M,Discus,Throws,24/04/2016,4 years ineligibility,23/04/2020,Since 24.04.16,No,Doping,"Presence,Use",Exogenous Steroids,"In competition test, 1st Indian Grand Prix 2016 , New Delhi, IND"
 Dinesh KUMAR,03/02/1991,IND,athlete,,,Middle Distance (800m-1500m),09/12/2018,4 years ineligibility,27/01/2023,Since 09.12.18,No,Doping,"Presence,Use",Stanozolol and Meldonium,"Out-of-competition test, Delhi, IND"
 Parveen KUMAR,19/02/1990,IND,athlete,M,400m,Sprints (400m or less),27/06/2018,4 years ineligibility,02/08/2022,Since 27.06.18,No,Doping,"Presence,Use","Testosterone, androsterone, etiocholanone, 5aAdiole & 5bAdiol","In competition test, ""58th National interstate senior athletics championship"", Dehradun, IND"
 Rohit KUMAR,15/07/1994,IND,athlete,M,Javelin,Throws,17/09/2015,8 years ineligibility (2nd ADRV),22/10/2023,Since 17.09.15,No,Doping,"Presence,Use",Metandienone,"In competition test,  55th National Open Senior Athletics Championship
, Kolkata, IND"
 Pradeep Ruwan KUMARA,31/01/1994,SRI,athlete,M,,,01/06/2017,4 years ineligibility,31/05/2021,01.06.17,No,Doping,"Presence,Use",Norandrosterone,"In competition, in     2nd Selection Trials , Diyagama, SRI"
 Amit KUMARI,18/09/1992,IND,athlete,M,Javelin,Throws,13/06/2018,3 years & 6 months ineligibility,23/01/2022,Since 13.06.18,No,Doping,"Presence,Use",Methyltestosterone,"Out-of-competition test, Kuortane, FIN"
 Neelam KUMARI,07/07/1999,IND,athlete,M,100m Hurdles,Sprints (400m or less),20/12/2017,4 years ineligibility,14/01/2022,Since 20.12.17,No,Doping,"Presence,Use",Norandrosterone,"In competition test, SGFI Athletics Championships , Rohtak, IND"
 Farhod KURALOV,18/10/1993,TJK,athlete,M,,Sprints (400m or less),13/06/2016,4 years ineligibility,28/06/2020,Since 13.06.16,No,Doping,"Presence,Use",Stanozolol,"Out-of competition test, Dushanbe, TJK"
 Damir KUSAINOV,27/11/1987,KAZ,athlete,M,,Throws,12/06/2017,4 years ineligibility,17/09/2021,From 12.06.17,No,Doping,"Presence,Use",Drostanolone,"In competition, in    Almaty Kazakh Championships Almaty, KAZ"
 Kristine KUZNECOVA,01/03/1983,LAT,athlete,F,,Long Distance (3000m+),18/09/2016,4 years and 6 months ineligibility,08/05/2021,Since 18.09.16,No,Doping,"Presence,Use, Violation of the Prohibition of Participation During Ineligibility",Meldonium and Participation during ineligibility,"In competition test, Janis un Janitis 2019; Patria Historical Run; Patria Mud Run; Janis un Janitis 2017, LAT"
 Magut (Kipsoi) KWAMBAI,26/09/1991,KEN,athlete,M,,Long Distance (3000m+),12/03/2017,2 years ineligibility,13/07/2019,Since 12.03.17,No,Doping,"Presence,Use",Norandrosterone,"In competition test, Brescia Art Marathon, Brescia, ITA"
 Amine LAALOU,13/05/1982,MAR,athlete,M,,Middle Distance (800m-1500m),09/04/2016,8 years ineligibility (2nd ADRV),10/05/2024,Since 09.04.16,No,Doping,"Presence,Use",EPO,"Out-of competition test, Ifran, MAR"
 Abdelhadi LABALI,26/04/1993,MAR,athlete,M,,Long Distance (3000m+),09/07/2012,8 years ineligibility (2nd ADRV),11/05/2024,Since 09.07.16,No,Doping,"Use,Evasion,R efusal and or Failure to Submit","Evading, Refusing or Failing to Submit to Sample Collection","IAAF Rule 32.2. (c)  - Refusal to submit to a doping control, Ifrane, MAR"
 Yevgeniy LABUTOV,17/11/1984,KAZ,athlete,M,,Throws,30/03/2017,4 years ineligibility,04/05/2021,Since 30.03.17,No,Doping,"Presence,Use",Dehydrochloromethyltestos terone,"Out competition test, in Almaty, Kazakhstan"
 Hassan LAQOUAHI,03/06/1991,MAR,athlete,M,,Long Distance (3000m+),13/10/2019,4 years ineligibility,17/11/2023,Since 13.10.19,No,Doping,"Presence,Use",EPO,"In competition test, Wizz Air Sofia Marathon, Sofia, BUL"
 Louisa LEBALLO,04/12/1977,RSA,athlete,F,,Long Distance (3000m+),20/03/2017,8 years ineligibility,24/05/2024,20.03.17,No,Doping,"Presence,Use, Possession",EPO / Tampering,IAAF Rule 32.2.e - Tampering
 Artyom LEONENKO,07/04/1993,RUS,athlete,M,,Middle Distance (800m-1500m),19/07/2018,4 years ineligibility,07/02/2023,Since 19-07-18,No,Doping,Use,Athlete Biological Passport,Athlete Biological Passport Case
 Natalya LEONTEVA,27/06/1998,RUS,athlete,F,,Sprints (400m or less),14/06/2019,4 years ineligibility,03/07/2023,Since 14.06.19,No,Doping,"Presence,Use",Drostanolone,"In competition test, All Russian Juniors Competiton, Kaluga, RUS"
 Gordon LESETEDI,26/06/1985,RSA,athlete,M,,Long Distance (3000m+),01/09/2019,18 months ineligibility,28/02/2021,Since 01.09.19,No,Doping,"Presence,Use","Prednisone, Prednisolone","In competition test, Vaal River City Marathon, Vanderbijlpark, RSA"
 Andrey LESHCHENKO,31/12/1992,RUS,athlete,M,,Sprints (400m or less),09/06/2019,2 years ineligibility,24/07/2021,Since 09.06.19,No,Doping,"Presence,Use",5-methylhexan-2-amine,"In competition test, UFO and SKFO region Championships, Krasnodar, RUS"
 Sekeke LESOLE,25/01/1981,LES,athlete,M,,Long Distance (3000m+),06/12/2014,8 years ineligibility (2nd ADRV),29/04/2023,Since 06.12.14,No,Doping,"Presence,Use",Norandrosterone,"In competition test,  High Altitude Summer Marathon , Mokhotlong, LES"
 Nigel LEVINE,30/04/1989,GBR,athlete,M,,Sprints (400m or less),24/11/2017,4 years ineligibility,12/12/2021,Since 24.11.17,No,Doping,"Presence,Use",Clenbuterol,"Out-of-competition test, West Drayton, GBR"
 Jiayu LI,01/09/2000,CHN,athlete,F,,Middle Distance (800m-1500m),15/08/2018,2 years ineligibility,14/08/2020,Since 15.08.18,No,Doping,"Presence,Use",Meldonium,"In competition test,  15th Provincial Games of Shanxi Province , Taiyuan, CHN"
 Wenjie LI,24/11/1994,CHN,athlete,F,,Long Distance (3000m+),19/11/2017,4 years ineligibility,17/12/2021,Since 19.11.17,No,Doping,"Presence,Use",EPO,"In competition test,  Qingdao International Marathon over the Sea , Qingdao, CHN"
 Yipeng LI,,CHN,athlete,M,,Long Distance (3000m+),,4 years ineligibility,20/10/2022,Since 21.10.18,No,Non-Doping,"Presence,Use",EPO,"In competition test, 'Huinan Marathon' in Huinan, CHN"
 Elmar LICHTENEGGER,25/05/1974,AUT,athlete,M,110m Hurdles,Sprints (400m or less),20/11/2007,Lifetime ban (2nd ADRV),,Since 20.11.07,Yes,Doping,"Presence,Use",Norandrosterone,Out of competition test
 Baoying LIM,31/01/1982,SGP,athlete,F,Marathon,Long Distance (3000m+),09/12/2018,3 years and 9 months ineligibility,07/11/2022,Since 09.12.18,No,Doping,"Presence,Use",Modafinil,"In competition test, Singapore Standard Chartered Marathon , Singapore, SGP"
 Sandris LINBERGS,04/09/1980,LAT,athlete,M,,Throws,24/03/2019,4 years ineligibility,23/03/2023,Since 24.03.19,No,Doping,"Presence,Use","Metandienone, Methasterone, RAD140","In competition test, Masters World Championships, Torun, POL"
 Baoqing LIU,20/09/1988,CHN,athlete,M,,Long Distance (3000m+),05/04/2017,4 years ineligibility,04/04/2021,From 05.04.17,No,Doping,"Presence,Use","Clostebol, Drostanolone",In competition
 Min LIU,22/12/1997,CHN,athlete,F,,Long Distance (3000m+),23/02/2019,4 years ineligibility,18/03/2023,Since 23.02.19,No,Doping,"Presence,Use",EPO,"Out-of-competition test, ChuXiong, CHN"
 Daniel LOPEZ FERREIRA,02/02/1967,BRA,athlete,M,Road Running,Long Distance (3000m+),09/08/2009,Lifetime ban,,Since 09.08.09,Yes,Doping,"Presence,Use",Phentermine,"In competition test, ' Circuitos de Corridas e Caminhada, Bauru, BRA"
 Ivan LOPEZ,10/03/1990,CHI,athlete,M,,Middle Distance (800m-1500m),26/02/2016,4 years ineligibility,30/05/2020,From 26.02.16,No,Doping,"Presence,Use",CERA,"In competition, in    Reunion Internacional de Atletismo en Pista Cubierta  - Villa de Madrid , Madrid, ESP"
 Amin LOTFOLLAHI,02/01/1997,IRI,athlete,M,Shot Put,Throws,11/05/2016,2 years ineligibility,21/06/2020,Since 11.05.16,No,Doping,"Presence,Use",Metandienone,"In competition test, IRI"
 Weiyi LU,04/05/2000,CHN,athlete,M,,Sprints (400m or less),31/08/2018,2 years ineligibility,30/08/2020,Since 31.08.18,No,Doping,"Presence,Use",Stanozolol,"Out-of-competition test, Yixing, CHN"
 Maria Magdalena LUCA,09/01/1978,ROU,athlete,F,,Long Distance (3000m+),09/10/2016,4 years ineligibility,13/11/2020,Since 9.10.16,No,Doping,"Presence,Use",Exogenous Steroids,"In-competition test  National Marathon Championships, Bucharest, ROU"
 Azwindini Gladys LUKHWARENI,25/07/1980,RSA,athlete,F,,Long Distance (3000m+),30/04/2016,4 years ineligibility,25/09/2020,Since 30.4.16,No,Doping,"Presence,Use",Exogenous Steroids,"In competition test,  Polokwane Mayor s Marathon, Polokwane, RSA"
 Anne LUPKE,07/08/1980,AFG,athlete,F,,Long Distance (3000m+),09/10/2016,4 years ineligibility,25/06/2021,09.10.16,No,Doping,"Presence,Use",Methylhexaneamine,"In competition test,    Munchen Marathon Munich, GER"
 Nataliia LUPU,04/11/1987,UKR,athlete,F,800m,Middle Distance (800m-1500m),29/07/2016,8 years ineligibility (2nd ADRV),26/12/2024,"From 29.7.16 -
27.12.16",No,Doping,"Presence,Use","Exogenous Steroids, Growth Hormone (hGH)","Out of competition testing, Brovary, UKR"
 Alexandr LYAKH,06/05/2002,KGZ,athlete,M,,Throws,02/07/2018,2 years ineligibility,22/07/2020,Since 02.07.18,No,Doping,"Presence,Use",Methylhexaneamine,"In competition test,  National youth Championships for 2001-2002 , Almaty, KAZ"
 Imgharene LYAZID,17/04/1984,MAR,athlete,M,,Long Distance (3000m+),20/10/2018,4 years ineligibility,04/12/2022,Since 20/10/18,No,Doping,"Presence,Use",EPO,"In competition test,  Xi'an International Marathon , Xi'an, CHN"
 Pule MAEKO,24/01/1987,RSA,athlete,M,,Long Distance (3000m+),31/03/2018,2 years ineligibility,05/05/2020,Since 31.03.18,No,Doping,"Presence,Use",Betamethasone,"In competition test,  Old Mutual two oceans marathon , Cape Town, South Africa"
 Eliud MAGUT,18/12/1986,KEN,athlete,M,,Long Distance (3000m+),23/04/2017,4 years ineligibility,13/07/2022,Since 23.04.17,No,Doping,"Presence,Use",Norandrosterone,"In competition tests, Vienna City Marathon , Vienna, AUT & 'The Harmony Geneva Marathon for UNICEF', Geneva, SUI"
 Rakhat MAGZAMOV,17/06/1991,KAZ,athlete,M,,Sprints (400m or less),13/05/2017,4 years ineligibility,24/09/2021,From 13.05.17,No,Doping,"Presence,Use",Meldonium,"In competition, in    Almaty National Cup Almaty, KAZ"
 Viktoria MAKAI,01/07/1980,HUN,athlete,F,,Long Distance (3000m+),10/06/2018,4 years ineligibility,17/07/2022,Since 10.06.18,No,Doping,"Presence,Use",Amfetamine,"In competition test, OptiVita 12h , in Velence, HUN"
 Roman MALEYEV,23/08/1986,RUS,athlete,M,,Middle Distance (800m-1500m),10/07/2019,2 years ineligibility,01/08/2021,Since 10.07.19,No,Doping,"Presence,Use","4-methylpentan-2-amine (1,3- dimethylbutylamine)","In competition test, All-Russian cross- country competition of the Dynamo Society, Perm, RUS"
 Prashant MALIK,10/07/1991,IND,athlete,M,Discus,Throws,15/05/2017,4 years ineligibility,04/06/2021,Since 15.05.17,No,Doping,"Presence,Use",Drostanolone,"In competition test,  3rd Indian Grand Prix , New Delhi, IND"
 Yulia MALUEVA,18/07/1995,RUS,athlete,F,,Sprints (400m or less),02/09/2017,4 years ineligibility,11/04/2022,Since 02.09.17,No,Doping,Administration,Refusal to submit to doping control,Art 2.3 ADR - Refusal
 Artur MALYSHENKO,09/07/1999,UKR,athlete,M,Triple Jump,Jumps,23/06/2018,4 years ineligibility,29/09/2022,Since 23.06.18,No,Doping,Use,Trenbolone,"OOCT, Kropyvnytskyi, UKR"
